query_prefix,topic_id,title,criteria,doc_id
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0511wb-62-04013
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-1611wb-62-08554
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0600tw-18-16522
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0600wb-01-34983
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-00-19543
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0600wb-63-00373
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-20-16092
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-66-01819
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-66-01833
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0602wb-06-14286
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-75-19798
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0000wb-90-29403
110,3e9xbj,"Fibromyalgia pain relief without serious narcotics","Documents should discuss the difference treatment options for chronic pain, specifically associated with fibromyalgia. ",clueweb12-0605wb-04-05354
